,Android开发,C语言,Java语言,Python语言,单片机,大学英语,数字电路,模拟电路,线性代数,高等数学
count,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0
mean,70.40625,73.4375,71.9375,72.78125,69.59375,71.3125,74.75,76.375,69.09375,73.0625
std,17.8250627741735,16.545026540498704,18.023170570666938,15.81492634068494,14.086963488366846,20.374616560809187,13.168878268049625,11.076711984478822,22.553677012278808,12.181258741038588
min,0.0,8.0,0.0,15.0,45.0,0.0,45.0,47.0,0.0,41.0
25%,64.25,68.75,63.5,66.5,58.0,63.5,65.0,69.75,62.25,64.0
50%,75.5,76.0,75.5,75.5,71.5,77.5,78.5,76.0,75.5,75.0
75%,82.0,84.0,83.25,85.0,79.0,84.25,85.25,84.5,85.0,84.0
max,92.0,95.0,94.0,95.0,95.0,95.0,95.0,96.0,95.0,90.0
